[2026-05-05 15:58:12.562] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:12.575] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:12.587] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:12.599] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:12.612] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:12.624] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:12.636] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:12.649] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:12.661] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:12.673] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:12.686] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:12.698] tag=0x0007  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:58:12.710] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:12.723] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:12.735] tag=0x0007  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:58:12.747] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:12.760] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:12.772] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:12.784] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:12.797] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:12.809] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:12.821] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:12.834] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:12.846] tag=0x0007  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:58:12.858] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:12.872] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:12.883] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:12.895] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:12.908] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:12.920] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:12.932] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:12.945] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:12.957] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:12.970] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:12.982] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:12.996] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.007] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.020] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.032] tag=0x0007  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:58:13.044] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.057] tag=0x0007  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:58:13.069] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.081] tag=0x0007  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:58:13.093] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.105] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:13.118] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:13.131] tag=0x0007  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:58:13.143] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.155] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.167] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.180] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:13.193] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:13.204] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.216] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:13.229] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.242] tag=0x0007  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:58:13.255] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:13.266] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.278] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.290] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.303] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.315] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.327] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.340] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.352] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:13.364] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:13.377] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:13.389] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:13.402] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:13.415] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.428] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.439] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.452] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:13.464] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:13.476] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.490] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.501] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
