[2026-05-05 15:38:14.412] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:14.424] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:14.436] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:14.449] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:14.461] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:14.473] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:14.489] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:14.497] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:14.510] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:14.522] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:14.534] tag=0x0001  rs= 0  na= 1 | 1005 : 6538
[2026-05-05 15:38:14.546] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:14.558] tag=0x0001  rs= 0  na= 1 | 1005 : 6538
[2026-05-05 15:38:14.571] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:14.583] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:14.595] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:14.607] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:14.619] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:14.631] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:14.644] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:14.656] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:14.668] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:14.680] tag=0x0001  rs= 0  na= 1 | 1005 : 6538
