[2026-05-05 15:43:30.928]  na= 1 | 1008 : 6651
[2026-05-05 15:43:30.942] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:30.952] tag=0x0001  rs= 0  na= 1 | 1008 : 6688
[2026-05-05 15:43:30.966] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:30.978] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:30.989] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:31.003] tag=0x0001  rs= 0  na= 1 | 1008 : 6604
[2026-05-05 15:43:31.015] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:31.026] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:31.039] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:31.050] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:31.063] tag=0x0001  rs= 0  na= 1 | 1008 : 6679
[2026-05-05 15:43:31.074] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:31.086] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:31.099] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:31.111] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:31.123] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:31.135] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:31.147] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:31.159] tag=0x0001  rs= 0  na= 1 | 1008 : 6604
[2026-05-05 15:43:31.172] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:31.184] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:31.198] tag=0x0001  rs= 0  na= 1 | 1008 : 6604
[2026-05-05 15:43:31.210] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:31.220] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:31.235] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:31.246] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:31.257] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:31.269] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:31.281] tag=0x0001  rs= 0  na= 1 | 1008 : 6679
[2026-05-05 15:43:31.294] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:31.306] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:31.318] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:31.330] tag=0x0001  rs= 0  na= 1 | 1008 : 6707
[2026-05-05 15:43:31.342] tag=0x0001  rs= 0  na= 1 | 1008 : 6688
[2026-05-05 15:43:31.355] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:31.368] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:31.379] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:31.391] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:31.403] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:31.415] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:31.427] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:31.440] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:31.454] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
